"","lon","lat"
"1",-95.3698028,29.7604267
"2",-89.3985283,32.3546679
"3",-118.2436849,34.0522342
"4",-98.4936282,29.4241219
"5",-98.4936282,29.4241219
"6",-118.2436849,34.0522342
"7",-118.2436849,34.0522342
"8",-118.2436849,34.0522342
"9",-118.2436849,34.0522342
"10",-118.2436849,34.0522342
"11",-118.2436849,34.0522342
"12",-118.2436849,34.0522342
"13",-118.2436849,34.0522342
"14",-84.3879824,33.7489954
"15",-106.650422,35.0843859
"16",-96.7969879,32.7766642
"17",-118.2436849,34.0522342
"18",-84.3879824,33.7489954
"19",-104.990251,39.7392358
"20",-104.990251,39.7392358
"21",-104.990251,39.7392358
"22",-87.6297982,41.8781136
"23",-112.0740373,33.4483771
"24",-98.4936282,29.4241219
"25",-104.990251,39.7392358
"26",-118.2436849,34.0522342
"27",-118.2436849,34.0522342
"28",-98.4842465,39.011902
"29",-74.0059728,40.7127753
"30",-95.3698028,29.7604267
"31",-87.6297982,41.8781136
"32",-78.6381787,35.7795897
"33",-90.1994042,38.6270025
"34",-90.0715323,29.9510658
"35",-122.4194155,37.7749295
"36",-118.2436849,34.0522342
"37",-118.2436849,34.0522342
"38",-121.8946761,36.6002378
"39",-122.2711137,37.8043637
"40",-118.2436849,34.0522342
"41",-118.2436849,34.0522342
"42",-118.1937395,33.7700504
"43",-118.2436849,34.0522342
"44",-87.6297982,41.8781136
"45",-118.2436849,34.0522342
"46",-118.2436849,34.0522342
"47",-118.2436849,34.0522342
"48",-90.1994042,38.6270025
"49",-97.092877,35.0077519
"50",-98.4936282,29.4241219
"51",-118.2436849,34.0522342
"52",-95.9345034,41.2565369
"53",-77.0368707,38.9071923
"54",-118.4911912,34.0194543
"55",-95.3696909,35.7478769
"56",-118.2436849,34.0522342
"57",-95.9345034,41.2565369
"58",-118.2436849,34.0522342
"59",-118.2436849,34.0522342
"60",-95.992775,36.1539816
"61",-90.1848103,32.2987573
"62",-97.3307658,32.7554883
"63",-95.3696909,35.7478769
"64",-104.990251,39.7392358
"65",-118.2436849,34.0522342
"66",-90.1994042,38.6270025
"67",-94.3985475,35.3859242
"68",-74.0059728,40.7127753
"69",-118.2436849,34.0522342
"70",-118.2436849,34.0522342
"71",-118.2436849,34.0522342
"72",-117.6508876,34.0633443
"73",-118.2436849,34.0522342
"74",-122.3320708,47.6062095
"75",-92.2895948,34.7464809
"76",-98.4933873,33.9137085
"77",-89.3856281,36.0345159
"78",-89.3856281,36.0345159
"79",-118.2436849,34.0522342
"80",-96.7969879,32.7766642
"81",-79.3831843,43.653226
"82",-77.1945247,41.2033216
"83",-90.0715323,29.9510658
"84",-118.2436849,34.0522342
"85",-94.5785667,39.0997265
"86",-118.2436849,34.0522342
"87",-87.4975254,34.6464798
"88",-119.0187125,35.3732921
"89",-118.2436849,34.0522342
"90",-118.2436849,34.0522342
"91",-87.6297982,41.8781136
"92",-118.2436849,34.0522342
"93",-118.2436849,34.0522342
"94",-97.7430608,30.267153
"95",-117.1610838,32.715738
"96",-74.4229266,39.3642834
"97",-118.2436849,34.0522342
"98",-95.3698028,29.7604267
"99",-74.0059728,40.7127753
"100",-122.2711137,37.8043637
"101",-95.9345034,41.2565369
"102",-96.7969879,32.7766642
"103",-93.7501789,32.5251516
"104",-94.5785667,39.0997265
"105",-78.6568942,37.4315734
"106",-74.0059728,40.7127753
"107",-118.2436849,34.0522342
"108",-118.2436849,34.0522342
"109",-89.3985283,32.3546679
"110",-90.1848103,32.2987573
"111",-118.2436849,34.0522342
"112",-118.2436849,34.0522342
"113",-89.350631,36.9208854
"114",-118.2436849,34.0522342
"115",-122.4442906,47.2528768
"116",-122.4194155,37.7749295
"117",-90.1848103,32.2987573
"118",-112.0740373,33.4483771
"119",-118.2436849,34.0522342
"120",-118.2436849,34.0522342
"121",-118.2436849,34.0522342
"122",-95.6751576,39.0473451
"123",-118.2436849,34.0522342
"124",-118.2436849,34.0522342
"125",-85.4463594,39.6092137
"126",-93.2173758,30.2265949
"127",-96.7969879,32.7766642
"128",-118.2436849,34.0522342
"129",-84.1916069,39.7589478
"130",-122.3320708,47.6062095
"131",-97.151931,29.2877469
"132",-87.9064736,43.0389025
"133",-118.2436849,34.0522342
"134",-118.2436849,34.0522342
"135",-122.6793461,45.5154586
"136",-118.2436849,34.0522342
"137",-118.2436849,34.0522342
"138",-118.2436849,34.0522342
"139",-118.2436849,34.0522342
"140",-118.2436849,34.0522342
"141",-92.657085,30.2224284
"142",-118.2436849,34.0522342
"143",-73.9441579,40.6781784
"144",-94.7976958,29.3013479
"145",-118.2436849,34.0522342
"146",-73.9441579,40.6781784
"147",-118.2436849,34.0522342
"148",-94.1265562,30.080174
"149",-71.1522765,42.4792618
"150",-94.3305059,38.2586347
"151",-118.2436849,34.0522342
"152",-98.7648073,38.3644567
"153",-94.5785667,39.0997265
"154",-118.2436849,34.0522342
"155",-118.2436849,34.0522342
"156",-118.2436849,34.0522342
"157",-61.3764381,10.2659505
"158",-94.846681,39.7674578
"159",-118.2436849,34.0522342
"160",-95.3698028,29.7604267
"161",-73.6337389,40.8623217
"162",-95.1797935,32.5891917
"163",-118.2436849,34.0522342
"164",-97.5164276,35.4675602
"165",-118.2436849,34.0522342
"166",-122.4194155,37.7749295
"167",-87.4975254,34.6464798
"168",-75.1652215,39.9525839
"169",-75.1652215,39.9525839
"170",-95.3698028,29.7604267
"171",-118.2436849,34.0522342
"172",-96.7969879,32.7766642
"173",-118.2436849,34.0522342
"174",-96.7969879,32.7766642
"175",-90.0715323,29.9510658
"176",-118.2436849,34.0522342
"177",-94.6858998,46.729553
"178",-118.2436849,34.0522342
"179",-118.2436849,34.0522342
"180",-64.7505,32.3078
"181",-85.6680863,42.9633599
"182",-95.3698028,29.7604267
"183",-87.6297982,41.8781136
"184",-95.3698028,29.7604267
"185",-98.4936282,29.4241219
"186",-118.2436849,34.0522342
"187",-97.3307658,32.7554883
"188",-122.6793461,45.5154586
"189",-118.2436849,34.0522342
"190",-74.0059728,40.7127753
"191",-118.2436849,34.0522342
"192",-105.7820674,39.5500507
"193",-118.2436849,34.0522342
"194",-94.5785667,39.0997265
"195",-95.3698028,29.7604267
"196",-118.2436849,34.0522342
"197",-118.2436849,34.0522342
"198",-118.2436849,34.0522342
"199",-118.2436849,34.0522342
"200",-95.9345034,41.2565369
"201",-118.2436849,34.0522342
